time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-04-06T23:06:11.676Z,39.4405,-118.4667,12.5,0.7,ml,4,184.6,0.299,0.0847,nn,nn00804468,2021-04-07T00:23:13.325Z,"21 km E of Fallon Station, Nevada",earthquake,,20.5,0.49,3,reviewed,nn,nn
2021-04-06T23:05:17.630Z,48.0775,-121.990833333333,3.57,1.48,ml,5,255,0.1253,0.38,uw,uw61722766,2021-04-06T23:20:58.880Z,"1 km WSW of Granite Falls, Washington",earthquake,2.89,24.4,0.155390712445315,3,reviewed,uw,uw
2021-04-06T22:54:28.936Z,40.6255,-119.5494,14.6,2.2,ml,6,120.6,0.476,0.133,nn,nn00804453,2021-04-06T23:27:44.380Z,"16 km W of Gerlach, Nevada",earthquake,,1.6,0.3,5,reviewed,nn,nn
2021-04-06T22:50:16.550Z,19.2296666666667,-155.416166666667,31.29,1.62,md,12,210,,0.07,hv,hv72415122,2021-04-07T04:47:05.100Z,"7 km ENE of Pāhala, Hawaii",earthquake,0.87,1.01,0.0977680955391294,7,reviewed,hv,hv
2021-04-06T22:49:14.280Z,35.7651667,-117.5795,6.8,1.87,ml,28,73,0.05255,0.14,ci,ci39841272,2021-04-06T23:00:18.620Z,"16km W of Searles Valley, CA",earthquake,0.2,0.54,0.105,25,automatic,ci,ci
2021-04-06T22:39:33.200Z,36.4838333,-121.050499,6.98,2.05,md,21,151,0.02913,0.07,nc,nc73546090,2021-04-06T23:12:05.757Z,"10km ESE of Pinnacles, CA",earthquake,0.48,0.81,0.2,21,automatic,nc,nc
2021-04-06T22:37:19.610Z,19.1645,-155.457333333333,31.73,1.73,md,13,250,,0.09,hv,hv72415102,2021-04-07T04:58:48.930Z,"4 km SSE of Pāhala, Hawaii",earthquake,0.87,0.95,0.0594611158676297,6,reviewed,hv,hv
2021-04-06T22:32:58.353Z,61.4152,-150.0866,40.8,1.5,ml,,,,0.62,ak,ak0214f4vu4r,2021-04-06T22:35:50.759Z,"8 km NW of Point MacKenzie, Alaska",earthquake,,0.7,,,automatic,ak,ak
2021-04-06T22:21:21.820Z,38.8241653,-122.8116684,1.99,1.81,md,35,35,0.001464,0.03,nc,nc73546080,2021-04-07T01:30:07.974Z,"7km NW of The Geysers, CA",earthquake,0.16,0.28,0.11,10,automatic,nc,nc
2021-04-06T22:18:25.071Z,60.1101,-140.6914,0,1.8,ml,,,,1.11,ak,ak0214f4sro7,2021-04-06T22:22:39.303Z,"82 km NW of Yakutat, Alaska",earthquake,,0.2,,,automatic,ak,ak
2021-04-06T22:14:59.110Z,35.7843333,-117.638,5.67,1.61,ml,19,66,0.04545,0.19,ci,ci39841240,2021-04-06T22:18:53.154Z,"18km N of Ridgecrest, CA",earthquake,0.29,0.77,0.164,24,automatic,ci,ci
2021-04-06T22:08:15.485Z,38.1559,-118.0702,3,1.1,ml,11,125.86,0.015,0.1584,nn,nn00804443,2021-04-06T22:47:29.628Z,"26 km S of Mina, Nevada",earthquake,,1.1,0.39,11,reviewed,nn,nn
2021-04-06T22:03:08.363Z,65.3225,-162.5782,0.2,1.8,ml,,,,0.6,ak,ak0214f4piix,2021-04-06T22:12:48.126Z,"79 km WNW of Koyuk, Alaska",earthquake,,0.5,,,automatic,ak,ak
2021-04-06T21:56:18.200Z,35.969,-117.3175,0.5,0.87,ml,8,196,0.08268,0.19,ci,ci39841216,2021-04-06T21:59:50.966Z,"23km NNE of Trona, CA",earthquake,0.77,0.71,0.134,8,automatic,ci,ci
2021-04-06T21:55:47.745Z,31.9044,93.0153,10,4.8,mb,,66,2.73,0.76,us,us6000dzj3,2021-04-06T22:40:43.040Z,"102 km ENE of Nagqu, China",earthquake,7,1.9,0.069,64,reviewed,us,us
2021-04-06T21:48:35.574Z,31.9443,92.9985,10,5,mww,,56,6.676,0.62,us,us6000dzil,2021-04-06T22:08:26.040Z,"103 km ENE of Nagqu, China",earthquake,7.6,1.8,0.098,10,reviewed,us,us
2021-04-06T21:45:27.390Z,19.419,-155.513166666667,41.09,1.82,md,16,44,,0.14,hv,hv72415062,2021-04-07T04:43:17.140Z,"24 km N of Pāhala, Hawaii",earthquake,0.8,0.93,0.0132222671478197,7,reviewed,hv,hv
2021-04-06T21:33:23.381Z,12.1838,-87.2967,70.42,4.2,mb,,176,0.576,0.5,us,us6000dzid,2021-04-06T22:04:10.040Z,"35 km SSW of Corinto, Nicaragua",earthquake,5,7.1,0.125,18,reviewed,us,us
2021-04-06T21:25:14.330Z,17.9125,-66.9351,11,2.5,md,13,232,0.1231,0.27,pr,pr2021096002,2021-04-06T21:57:02.205Z,"7 km SSW of Guánica, Puerto Rico",earthquake,0.84,0.7,0.09,9,reviewed,pr,pr
2021-04-06T21:23:55.981Z,61.5825,-149.9495,42.5,1.4,ml,,,,0.76,ak,ak0214f48gwa,2021-04-06T21:27:03.585Z,"6 km N of Big Lake, Alaska",earthquake,,0.5,,,automatic,ak,ak
2021-04-06T21:22:12.300Z,60.5475,-150.7114,26,1.5,ml,,,,0.53,ak,ak0214f485ta,2021-04-06T21:25:23.285Z,"3 km ENE of Sterling, Alaska",earthquake,,0.5,,,automatic,ak,ak
2021-04-06T21:09:50.730Z,38.8106651,-122.8190002,2.44,0.14,md,6,162,0.008152,0.01,nc,nc73546060,2021-04-06T21:11:29.103Z,"7km NW of The Geysers, CA",earthquake,0.67,0.85,,1,automatic,nc,nc
2021-04-06T21:05:20.080Z,33.0306667,-115.9873333,8.86,1.13,ml,21,53,0.1443,0.15,ci,ci39841080,2021-04-06T21:09:06.612Z,"18km SE of Ocotillo Wells, CA",earthquake,0.27,1.58,0.124,15,automatic,ci,ci
2021-04-06T20:56:25.430Z,33.8371667,-116.9826667,10.96,0.68,ml,21,123,0.1297,0.15,ci,ci39841072,2021-04-06T23:02:13.189Z,"6km NNW of San Jacinto, CA",earthquake,0.29,0.57,0.105,12,reviewed,ci,ci
2021-04-06T20:49:08.308Z,60.4571,-152.5075,105.1,1.9,ml,,,,0.45,ak,ak0214f3si7a,2021-04-06T20:57:30.492Z,"64 km NW of Ninilchik, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-04-06T20:31:06.281Z,62.8248,-150.5847,76.8,2,ml,,,,0.61,ak,ak0214f3on6s,2021-04-06T20:37:58.259Z,"37 km NNE of Petersville, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-04-06T20:25:02.170Z,36.5536667,-121.135,8.23,0.93,md,12,131,0.0236,0.07,nc,nc73546045,2021-04-06T23:56:05.118Z,"3km NNE of Pinnacles, CA",earthquake,0.42,0.34,0.168,12,reviewed,nc,nc
2021-04-06T20:10:36.789Z,38.1636,142.149,45.11,4.2,mb,,143,2.753,0.84,us,us6000dzhz,2021-04-06T20:54:00.040Z,"79 km ESE of Ishinomaki, Japan",earthquake,8.9,9,0.124,22,reviewed,us,us
2021-04-06T20:08:49.002Z,5.911,126.5468,104.68,5.1,mb,,72,1.5,0.98,us,us6000dzhy,2021-04-06T20:26:50.040Z,"64 km SE of Pondaguitan, Philippines",earthquake,4.8,6.6,0.053,116,reviewed,us,us
